recv_unix,inference_ms
1773997770.6299891,1794.0863037109375
1773997771.7129872,506.3016662597656
1773997772.084432,354.0187072753906
1773997773.2784307,1080.968505859375
1773997775.6156929,625.5806884765625
1773997776.1778848,299.66455078125
1773997778.245963,239.77725219726562
1773997778.9081316,332.8861389160156
1773997781.3812666,375.5654602050781
1773997781.6605232,181.0507049560547
1773997781.9154615,242.5626220703125
1773997782.1577091,81.04374694824219
1773997782.5561028,260.4732360839844
1773997784.561625,165.4427490234375
1773997784.9043036,127.50504302978516
1773997785.0509243,76.53404235839844
1773997785.147938,76.02449798583984
1773997785.2474482,76.87679290771484
1773997785.3572478,85.51349639892578
1773997785.620221,246.47787475585938
1773997785.7974305,119.39791870117188
1773997786.3657045,89.07516479492188
1773997786.5539384,81.46446228027344
1773997786.8626049,91.71492004394531
1773997787.1546974,81.00308227539062
1773997787.3601763,87.37266540527344
1773997787.4954786,121.94112396240234
1773997787.5860007,89.63133239746094
1773997787.6963222,109.2110824584961
1773997787.9028816,130.6822509765625
